# cfd-territory never-run census -- generated by scripts/census_never_run.py
# unit: directory D with D/system/controlDict (INSTANCE) or D/system/controlDict*.template (DEFINITION); plus the orphan
#       unit: a directory with solver logs and NO system/ (a case run then pruned) -> RAN_LOGS_ONLY
# NEVER_RUN predicate: no solver log with an 'ExecutionTime = ' line, no time dir > 0 with content (case level OR processor*/),
#                      and no mesh (constant/polyMesh/points or a mesh-utility log).
# family is NAME-DERIVED and is a navigation aid only -- it cannot reliably pair a definition under cases/ with its
# outputs under verification/runs/, and it collides (cases/tmr and models/tmr share the key 'tmr').
# verdict_artifact is NAME-LINKED and is the weakest column here; open it before relying on it.
# tree=out_of_git rows come from stores enumerated in docs/LOCATIONS.md and reconciled against the disk; those stores are LAB-WIDE, not cfd-only.
# physics and bookkeeping are INDEPENDENT columns and are never folded into the class: ENDTIME_FIELDS/ABSENT is a solve whose log is gone, NONE/COMPLETE is a log whose fields are gone.
# RESIDUAL LIMIT: an in-repo case whose work happened out of git with NO recorded remote_dir is classified on its own artifacts alone and can still read NEVER_RUN. Name-matching would close that and reintroduce the F1-vs-F17 false negative; such rows are adjudicated by hand.
class	tree	physics	bookkeeping	family	case_root	evidence_path	application	missing_binary	solver_logs	unattributed_logs	time_dirs	proc_time_dirs	end_time	endtime_fields	series_last_time	end_line	rc	remote_dir	verdict_tokens	verdict_artifact
MESH_ONLY	repo	NONE	ABSENT	F12	verification/runs/F12_runs/mesh_audit_2026-08-25/coarse	verification/runs/F12_runs/mesh_audit_2026-08-25/coarse/constant/polyMesh	rhoSimpleFoam		0	0	0	0	6000.0	0		0			GATE FAIL,GATE REACHED,PENDING	verification/campaign/F12_RESULTS.md
MESH_ONLY	repo	NONE	ABSENT	F12	verification/runs/F12_runs/mesh_audit_2026-08-25/fine	verification/runs/F12_runs/mesh_audit_2026-08-25/fine/constant/polyMesh	rhoSimpleFoam		0	0	0	0	6000.0	0		0			GATE FAIL,GATE REACHED,PENDING	verification/campaign/F12_RESULTS.md
MESH_ONLY	repo	NONE	ABSENT	F12	verification/runs/F12_runs/mesh_audit_2026-08-25/medium	verification/runs/F12_runs/mesh_audit_2026-08-25/medium/constant/polyMesh	rhoSimpleFoam		0	0	0	0	6000.0	0		0			GATE FAIL,GATE REACHED,PENDING	verification/campaign/F12_RESULTS.md
MESH_ONLY	repo	NONE	ABSENT	F12	verification/runs/F12_runs/mesh_ladder_attempt2_2026-08-25/coarse	verification/runs/F12_runs/mesh_ladder_attempt2_2026-08-25/coarse/constant/polyMesh	rhoSimpleFoam		0	0	0	0	1.0	0		0			GATE FAIL,GATE REACHED,PENDING	verification/campaign/F12_RESULTS.md
MESH_ONLY	repo	NONE	ABSENT	F12	verification/runs/F12_runs/mesh_ladder_attempt2_2026-08-25/control_attempt1_correspondence	verification/runs/F12_runs/mesh_ladder_attempt2_2026-08-25/control_attempt1_correspondence/constant/polyMesh	rhoSimpleFoam		0	0	0	0	1.0	0		0			GATE FAIL,GATE REACHED,PENDING	verification/campaign/F12_RESULTS.md
MESH_ONLY	repo	NONE	ABSENT	F12	verification/runs/F12_runs/mesh_ladder_attempt2_2026-08-25/fine	verification/runs/F12_runs/mesh_ladder_attempt2_2026-08-25/fine/constant/polyMesh	rhoSimpleFoam		0	0	0	0	1.0	0		0			GATE FAIL,GATE REACHED,PENDING	verification/campaign/F12_RESULTS.md
MESH_ONLY	repo	NONE	ABSENT	F12	verification/runs/F12_runs/mesh_ladder_attempt2_2026-08-25/medium	verification/runs/F12_runs/mesh_ladder_attempt2_2026-08-25/medium/constant/polyMesh	rhoSimpleFoam		0	0	0	0	1.0	0		0			GATE FAIL,GATE REACHED,PENDING	verification/campaign/F12_RESULTS.md
MESH_ONLY	repo	NONE	ABSENT	F13_ONERA_M6	verification/runs/F13_ONERA_M6_runs/mesh/m1	verification/runs/F13_ONERA_M6_runs/mesh/m1/constant/polyMesh	checkMesh		0	0	0	0		0		0			BLOCKED,GATE FAIL,GATE REACHED,NOT A RESULT,PASS,PENDING	verification/campaign/F13_ONERA_M6_PREREGISTRATION.md
MESH_ONLY	repo	NONE	ABSENT	F13_ONERA_M6	verification/runs/F13_ONERA_M6_runs/mesh/m2	verification/runs/F13_ONERA_M6_runs/mesh/m2/constant/polyMesh	checkMesh		0	0	0	0		0		0			BLOCKED,GATE FAIL,GATE REACHED,NOT A RESULT,PASS,PENDING	verification/campaign/F13_ONERA_M6_PREREGISTRATION.md
MESH_ONLY	repo	NONE	ABSENT	F13_ONERA_M6	verification/runs/F13_ONERA_M6_runs/mesh/m4	verification/runs/F13_ONERA_M6_runs/mesh/m4/constant/polyMesh	checkMesh		0	0	0	0		0		0			BLOCKED,GATE FAIL,GATE REACHED,NOT A RESULT,PASS,PENDING	verification/campaign/F13_ONERA_M6_PREREGISTRATION.md
